ticker_a,ticker_b,lookback,entry_z,exit_z,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,entries,exits,turnover,win_rate,average_trade_return,cointegration_p_value
BETA,GAMMA,40,2.5,0.25,0.3445931430874294,0.12573548735146112,0.17363269798993106,0.724146366479616,-0.13769074301473172,8,8,16.0,0.875,0.039635282111452536,5.749035663338795e-05
BETA,GAMMA,90,2.5,0.5,0.26772380680816554,0.09953702597054592,0.17825165299300108,0.5584073095493491,-0.14495575483115442,8,8,16.0,0.75,0.032207321754109064,5.749035663338795e-05
BETA,GAMMA,90,2.5,0.25,0.2703402734118987,0.10044420229762241,0.2268224296064094,0.4428318772174202,-0.14025263859353665,10,10,20.0,0.6,0.026367339921952004,5.749035663338795e-05
BETA,GAMMA,90,2.0,0.0,0.03195372015019804,0.012661008903449122,0.38174820524095276,0.033165863597073665,-0.22656861613386492,25,24,49.0,0.52,0.004615401887788208,5.749035663338795e-05
BETA,GAMMA,90,2.5,0.0,-0.0443953124513069,-0.018000405223111082,0.3816676651350935,-0.04716251039170356,-0.2861542771157659,24,23,47.0,0.5833333333333334,0.0009356872631859081,5.749035663338795e-05
BETA,GAMMA,60,1.5,0.0,-0.14770758128966988,-0.061929561678047085,0.40673181915433976,-0.15226141344635516,-0.3034074008985943,28,27,55.0,0.4642857142857143,-0.00252585080103163,5.749035663338795e-05
BETA,GAMMA,40,1.5,0.0,-0.18427663382219484,-0.07824147888436361,0.408543394396785,-0.191513263847742,-0.3189495156465266,28,27,55.0,0.4642857142857143,-0.0034289740607150215,5.749035663338795e-05
BETA,GAMMA,40,2.0,0.0,-0.1952410465734744,-0.08321747425665371,0.4030514996293237,-0.2064685885877778,-0.34550014890609004,28,27,55.0,0.39285714285714285,-0.003805589854656296,5.749035663338795e-05
BETA,GAMMA,40,2.5,0.0,-0.1952410465734744,-0.08321747425665371,0.4030514996293237,-0.2064685885877778,-0.34550014890609004,28,27,55.0,0.39285714285714285,-0.003805589854656296,5.749035663338795e-05
BETA,GAMMA,60,2.0,0.0,-0.20385919410019138,-0.08715728575203974,0.40260149796948336,-0.21648524953736298,-0.39214070431159087,27,27,54.0,0.4074074074074074,-0.004368981800532591,5.749035663338795e-05
BETA,GAMMA,60,2.5,0.0,-0.2034258957083782,-0.08695859290004215,0.3538475700854487,-0.24575156155245886,-0.3761584974647011,21,20,41.0,0.47619047619047616,-0.007921963958373386,5.749035663338795e-05
BETA,GAMMA,90,1.5,0.0,-0.2513100999548912,-0.10932186765102381,0.38207308669357826,-0.2861281557334597,-0.3353846016868123,25,24,49.0,0.4,-0.00825781304607061,5.749035663338795e-05
